komentar,timestamp,sentiment
"Harusnya rakyat yang nangis, bukan yang korupsi 🤣🤣🤣",2025-04-22 05:57:26+00:00,netral
tadi kirain ada opera,2025-04-22 11:39:55+00:00,positif
"tumben nangis, ini termasuk 10 keajaiban dunia gk sih?",2025-04-22 15:17:42+00:00,positif
simpan tangisanmu untuk di neraka nanti,2025-04-22 12:45:22+00:00,netral
yaelah cuma 2 tahun aja kok,2025-04-23 09:14:32+00:00,negatif
nahan berak itu🗿,2025-04-23 13:17:32+00:00,negatif
anjay makan pake uang sebanyak 75.9M. tiap hari ke restoran bintang 5 yak sampe buat makan doang segitu banyak😂,2025-04-24 07:15:28+00:00,positif
"75,9M buat makan berapa tahun co🗿",2025-04-22 11:55:13+00:00,positif
buat makan?makan apa sampe segitu🗿,2025-04-24 11:30:57+00:00,netral
"prabowo : sini kembalikan uangnya, nanti saya bebaskan",2025-04-21 08:21:28+00:00,negatif
Kok kek ada yg ganjell ya dari setiap kasus korupsi terkuak saat2 ini .. 🗿,2025-04-21 12:12:57+00:00,negatif
apa atuh ah Indonesia mah yg gak di korupsi,2025-04-20 23:35:58+00:00,negatif
nangis bahagia dengan 75m nya🗿,2025-04-23 09:00:05+00:00,positif
kasiannyeeeee🗿,2025-04-22 14:25:47+00:00,positif
kita kan juga butuh makan emg keluarga situ doang,2025-04-22 11:59:27+00:00,positif
"Ingat gess Indonesia Tanah Air _BETA_
update nya kapan ya",2025-04-22 10:33:48+00:00,negatif
"75,9 milyar untuk makan?????",2025-04-22 10:13:14+00:00,negatif
Malah seriosaa an 🥲🥹🥹🥹,2025-04-18 05:27:59+00:00,netral
"kata pak prabowo, kasihan anak istri nya. jadi lepasin aja😅",2025-04-18 01:39:10+00:00,positif
kok semua bisa di korupsi ya....gajinya kurang banyak kah apa gimana,2025-04-18 04:38:58+00:00,negatif
uang segitu emang dia makan apa? nasi dr emas kah???,2025-04-17 07:02:54+00:00,negatif
malah nangiss,2025-04-17 06:33:25+00:00,negatif
saya mau uang 75 miliar..di tahan gpp...,2025-04-17 08:11:57+00:00,negatif
apa beneran tu sound beliau,2025-04-17 12:25:12+00:00,positif
Yaallah perkara sampah aja sampe diborgol. Semangat ya pak 🥺🙏 semoga ada keadilan buat bapak dan cepat memakai baju orange 🙏,2025-04-17 07:18:56+00:00,negatif
emang perut anak & isteri segede apa kok makannya habis banyak?,2025-04-17 09:35:30+00:00,negatif
makan apa 75 miliar. buat makan 7 turunan 😂,2025-04-19 12:07:53+00:00,negatif
😂😂😂😂 aq cari org yg LG nyanyiin manaaaaa..... g taunya diaaaaa 😂😂😂,2025-04-18 14:25:26+00:00,negatif
"klo 75,9 M buat beli makan ayam geprek, punah tuh ayam",2025-04-18 19:03:54+00:00,negatif
mkn kok sampai 75.9M emang sekali mkn satu pabrik kah,2025-04-18 02:59:01+00:00,negatif
"75,9 m🥺🥺🥺🥺🥺
bisaa menghidupi brpaa wargaaa itu yaaa",2025-04-17 09:35:20+00:00,negatif
"kasih makan kok sampai segitunya 75,9 m behh",2025-04-19 16:01:39+00:00,negatif
nangisnya penuh dengan fibra,2025-04-19 01:32:16+00:00,positif
"penjara pun paling 1 tahun denda 1 M,, masih untung banyak",2025-04-17 10:44:07+00:00,negatif
makan ampe 75.9m makan apa bu 😭😭😭,2025-04-17 09:05:46+00:00,negatif
"76,9 cuma buat makan? apa foya-foya",2025-04-19 06:47:12+00:00,negatif
itu kaya suara ketawa ya,2025-04-17 07:51:23+00:00,negatif
"woi lu 75,9 miliar buat makan anak istri? lah kami rakyat kecil 30 ribu dah cukup sehari",2025-04-22 05:32:48+00:00,negatif
"minimal dihukum m**i lahhh, ini palingan cuma dihukum 2tahunan",2025-04-22 04:42:55+00:00,negatif
huhuhuuhuhu😹,2025-04-23 13:32:50+00:00,positif
mungkin anak nya makan emas batangan☺️,2025-04-22 08:39:11+00:00,netral
Makan apa 75.9 M... 😔,2025-04-22 09:48:31+00:00,negatif
itu nangis apa opera😂😂,2025-04-22 10:50:40+00:00,negatif
lebih berarti tangis bapak atau tangis jutaan orang di luar sana pak?,2025-04-21 05:29:24+00:00,negatif
kami yang keluaran nya 500 ribu perminggu masih diam aja 🙂,2025-04-24 14:20:41+00:00,negatif
kirain lagi nyanyi opera 😔🤭,2025-04-22 13:45:14+00:00,positif
Malah ketawa 😹,2025-04-24 14:23:58+00:00,netral
suara nya cocok di jadiin meme😂,2025-04-22 07:14:32+00:00,positif
ang ang ang ang ang ang ang ang,2025-04-22 09:04:08+00:00,netral
"""hem, hem, hem, hem "" 😂",2025-04-22 10:08:05+00:00,positif
makan ap bang 75.9 M,2025-04-21 09:09:57+00:00,netral
berita biasa ini mah😹,2025-04-22 10:39:48+00:00,netral
makan apaan? nasi goreng lauk yacht kah,2025-04-24 14:28:34+00:00,negatif
"Luar biaya Biaya untuk anak istri nya 75,9Milyar.
Masih keren bapak gw meski bayar nya UMR tapi bisa kuliahin 2 anaknya sampe lulus ,tanpa korup.
👏🏼👏🏼👏🏼",2025-04-22 03:10:25+00:00,negatif
"100k sehari buat makan aj masih hidup sampe sekarang,ini 75.9M?makan apaan emang?makan berlian sama minum air lelehan emas tiap hari?",2025-04-25 05:18:21+00:00,negatif
"mau beli apa woy 75.9 Miliar??
Mau beli Caviar Se ton?🤭",2025-04-25 05:26:53+00:00,negatif
biar apa nangis kek gitu😹,2025-04-24 12:17:23+00:00,netral
kirain td perempuan yg nangis 🙂,2025-04-21 09:47:42+00:00,netral
positif thinking aja mungkin keluarganya makan makanan yang ditaburi emas setiap harinya 😂,2025-04-24 11:31:03+00:00,netral
"ya kali makan 75 miliar, keknya dibawah 10 juta udh cukup deh",2025-04-21 10:07:27+00:00,negatif
"75,9M buat makan apa pak?!",2025-04-22 13:18:05+00:00,negatif
sampah aja di korup njir la,2025-04-22 06:59:30+00:00,negatif
"tar tar ngelag nih saya, maksudnya korupsi sampah gimana ya? sampahnya dijual abis itu di korup gitu kah?🙏",2025-04-30 16:28:36+00:00,negatif
makan kog milyaran..tuh duit hrsny dpke utk makan jutaan rakyat eh dimakan utk 1 kluarga doang,2025-04-18 00:01:45+00:00,negatif
Di Jogja kayaknya juga harus diselidiki deh. Pengelolaan sampah disini Ancur banget. Sampe orang bakar Sampah dimana mana saking sulitnya,2025-04-17 15:38:46+00:00,negatif
orang dgn gaji umr yg ngidupin anak istri harus lebih keras nangisnya dari ini🤣,2025-04-17 17:05:14+00:00,netral
petinggi negeri ini sngt pandai membuat drama lebih hebat dr telenovela..😁😁,2025-04-17 13:53:39+00:00,positif
ko orang disitu bisa pada gaketawa si😭😭😭,2025-04-18 08:14:02+00:00,netral
mohon maaf 🙏 kirain dari awal suara nyamuk ternyata 😂🤣🤣,2025-04-17 15:30:45+00:00,negatif
pas mkan 75 M malah ketawa2..,2025-04-17 12:05:38+00:00,negatif
"Bebaskan dia, ketua !
dia layak bahagia",2025-04-18 03:22:29+00:00,positif
"duhh menyedihkan sekali ketangkep,nanti anak istrnyai siapa yang kasih makan 😁😁😁.",2025-04-17 05:15:05+00:00,negatif
"gaji sy cuma 800rb sebulan tpi cukup untuk anak istri, apa lagi 75,9 miliar ya",2025-04-18 10:49:34+00:00,negatif
"makan apaan sampe 70 milira, beliin wagyu makan tiap haripun gaakan habis",2025-04-18 15:56:00+00:00,negatif
tangisan 75M 😭😭😭,2025-04-18 15:42:47+00:00,netral
Gue baca & cernanya: sampah yg dikorupsi buat dikasih makan ke anak istrinya 😅,2025-04-18 15:29:06+00:00,netral
"75,9 M utk mkn ank istri (???) itu bisa kasih makan 1 kecamatan 3x sehari dlm beberapa bulan, kocak 😂😂",2025-04-19 01:56:51+00:00,negatif
kalau pas jalan dihutan sendirian ada suara begitu lumayan horor juga tuh,2025-04-17 05:15:03+00:00,negatif
"tagisanmu itu krn prbuattanmu sendiri,tagissan rayat kecil krn prbuattan kalian",2025-04-19 03:41:09+00:00,negatif
"ngasih makan anak istri pake duit haram, nauzubillahi min dzalik!!",2025-04-19 02:27:18+00:00,negatif
"makan apaan sampe 75,9 miliar? makan uang rakyat iya",2025-04-19 04:55:32+00:00,negatif
"luarnya aja keliatan nangis,padahal dalamnya dia tertawa terbahak2",2025-04-17 09:29:28+00:00,negatif
"kasihan untuk yang gak punya kesempatan korupsi.apalagi petani, bisa korupsi apa weyyy",2025-04-19 06:19:24+00:00,negatif
"trik lama 🤣🤣, eh tapi kalo dia bersikap baik pasti bebas & bisa nyalon lagi🤣🤣",2025-04-17 06:49:52+00:00,netral
Kadisnya tidak diusutkah,2025-04-17 08:34:58+00:00,negatif
"lagi dan lagi akan terus sprti ini,tumbuh subur dibumi konoha👍",2025-04-20 04:26:18+00:00,positif
bentar lagi viral sound nya 😎😎,2025-04-17 06:18:50+00:00,negatif
stock buat makan se kabupaten juga bisa itu mah anjir,2025-04-18 06:17:06+00:00,netral
klo takut ketahuan ngapain korupsi kocak,2025-04-19 03:09:44+00:00,negatif
udah dapat 75.9 Miliar saja nangis😭,2025-04-19 02:39:35+00:00,negatif
"bahagia bangat si bapak, sampe ketawa ngakak gitu 🗿",2025-04-17 05:07:30+00:00,positif
"Bagusnya semua pejabat ganti, di pensiunkan dini semua",2025-04-17 15:39:31+00:00,negatif
"korupsi ada dimn"",mau maju gmn ini",2025-04-22 06:39:18+00:00,negatif
"bg tombol reset data dimana ya bg,data gw isinya hampir berita korupsi semua🗿",2025-04-23 10:21:51+00:00,negatif
"Buat aja peraturan baru yaitu Denda 2 Kali lipat dari total nominal yang di korupsi dia, terus di tagih sampai lunas, daripada hukuman mat1 dan perampasan aset?",2025-04-30 15:46:54+00:00,negatif
mntappp pk prabowo,2025-04-24 14:24:26+00:00,netral
"makan nya apaan 7,5 m",2025-04-25 03:21:09+00:00,netral
seriosaa yaa...merdu bangett😁,2025-04-28 16:36:43+00:00,netral
"bpk gw aja bawa 100rb buat makan dah cukup lah ini 75,9M😑🗿",2025-04-25 03:18:53+00:00,negatif
"woww 75,9 Miliar buat makan berapa tahun pak? terus menu nya apa?",2025-04-21 22:37:20+00:00,negatif
"owalah ternyata sound yaa,ta kirain beneren nangis nya begitu 🤭",2025-04-21 13:56:57+00:00,netral
kl di bikin soundtrack film bgus .suara nya...,2025-04-21 14:31:21+00:00,netral
kok sedikit betul yaa🗿,2025-04-22 08:22:44+00:00,netral
"Lagu nya enak banget nih, cocok buat tambah rasa pusing di kepala",2025-04-21 14:51:41+00:00,netral
"15k aja dah dapet naspad, lah ini 75 milliar 😹",2025-04-24 03:42:51+00:00,negatif
nangis nya lucu banget😂,2025-04-24 05:42:12+00:00,positif
Makan apaan 75M,2025-04-21 14:28:15+00:00,netral
tombol reset negara,2025-04-21 16:02:27+00:00,positif
negara macam apa iniiii!!,2025-04-24 05:58:24+00:00,positif
Lebih kasihan orang yg ditangkap mencuri makanan gara gara anaknya kelaparan.,2025-04-28 15:07:45+00:00,negatif
HM HM hm hm hmuhuhuhuh hmh mhhmhm,2025-04-23 14:33:30+00:00,negatif
suara nya lucu😹😹😹,2025-04-23 14:19:52+00:00,positif
"75,9 m makanan apaan anjay buat sewa gordon ramsey kah",2025-04-24 09:12:15+00:00,negatif
"makan apa pak, 75 M???",2025-04-21 12:22:45+00:00,negatif
malah nyanyi seriosa,2025-04-24 06:59:18+00:00,netral
Astaghfirullah haladzim..... Sampah aja masih di korupsi,2025-04-22 04:10:32+00:00,negatif
"gak usah nangis begitulah.. kan udh makan 75,9M buk..",2025-04-22 04:21:59+00:00,negatif
hahaha,2025-04-23 13:04:54+00:00,negatif
lebih kasihan lg org yg diambil jatah bagiannya 😭😭,2025-04-22 00:51:00+00:00,negatif
😭 takut ada suara kunti,2025-04-21 12:32:44+00:00,netral
berani berbuat berani bertanggung jawab,2025-04-21 23:14:58+00:00,positif
bisa kah di hukum seberat berat nya,2025-04-30 18:58:20+00:00,netral
udah kenyang pak😂,2025-04-22 00:03:03+00:00,netral
lah? negara apa? 😭😭😭,2025-04-25 12:13:04+00:00,negatif
si Walid harus tau nihh 😂,2025-04-22 07:23:58+00:00,negatif
Yeeee nanggis2 si ibu kmrn duitnya diapaain aja lupaaaa dr si bapak,2025-04-21 12:03:51+00:00,negatif
serius dah dia nangis kenapa anjir??,2025-04-18 04:34:28+00:00,negatif
bro колтоІ koruptor ресан😹,2025-04-20 13:22:16+00:00,negatif
lagi korupsi lie senang2... sekarang nangis -- tangkap dan MISKINKAN,2025-04-18 06:38:07+00:00,negatif
"besok saya Bawak anak sama istri nya makan di warteg pak,gak sampai habis 20.000 udah kenyang pak, jgn sedih lagi pak ya😁",2025-04-19 06:32:12+00:00,negatif
Nah this nation are cooked,2025-04-18 06:15:00+00:00,negatif
nunggu pesona Indonesia pake sound ini😂,2025-04-18 12:21:59+00:00,positif
"gua heran saking kayanya negri ini semua bidang pemerintahan dikorupsi Masya Allah,coba klo bener²negri ini dikelola dengan penuh tanggung jawab kaya rakyat 🇮🇩",2025-04-19 01:12:35+00:00,positif
"korupsi sampah ko gede banget,,royal kali makan nya",2025-04-18 01:32:00+00:00,negatif
LOH LOH LOH DRAMA INDOSIAR TANGISAN BAPAK GEMOY🗿,2025-04-18 05:49:59+00:00,positif
dapet duit aje ga nangis😂😅,2025-04-20 09:42:58+00:00,netral
makan apaan 75.9 M 😂😂😂😂😂,2025-04-17 13:49:35+00:00,negatif
Pas nerima duit ketawa HA HA HA HA HA,2025-04-18 08:41:42+00:00,negatif
berlakukan sudah ruu perampasan aset,2025-04-17 08:57:18+00:00,negatif
kayaknya kalo skrg2 ini korupsi 8 M tuh dikit ya.krn sdh terbiasa denger sampe triliun 😁 abis triliun itu apaan sih?suatu saat nti ada kali ya melebihi triliunan.sebenernya negara kita ini kaya loh..,2025-04-17 09:52:06+00:00,negatif
Penasaran klo gen Z yg ambil alih sistem negara gmn ya? Tapi mon maaf yg gada latar belakang korupsi nyaa yaa,2025-04-18 10:05:28+00:00,negatif
"Sampah aja dikorupsi, apalagi yang lain",2025-04-19 06:01:59+00:00,negatif
